country,comparability_class,observation_type,detail,confidence
태국,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['불편한 비자 발급 및 출입국 절차(K-ETA 등)', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '여행하기에 적합하지 않은 날씨/기후, 계절'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 30.0%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
말레이시아,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['불편한 언어소통', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '적당하지 않은 여행경비 및 물가'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 26.7%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
호주,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['여행목적지로서 낮은 한국 인지도', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '불편한 언어소통'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 27.0%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
러시아,direct_within_survey,Layer1->Layer3 상대적 구간 하락,"문화경험률(E1A-1)은 중위3분위, 방한의향 있음률(B5B-1)은 하위3분위로 동일 모집단(전체 응답자) 내에서 구간이 하락함","병목 가능성이 관찰됨 (direct_within_survey 쌍이므로 conditional 지표보다 해석 근거가 상대적으로 강함, 그러나 실제 수치 차감(Gap)이나 통계적 유의성 검정은 수행하지 않았으므로 '발견'으로 단정하지 않음)"
러시아,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['여행목적지로서 낮은 한국 인지도', '적당하지 않은 여행경비 및 물가', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 23.2%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
인도,direct_within_survey,Layer1->Layer3 상대적 구간 하락,"문화경험률(E1A-1)은 상위3분위, 방한의향 있음률(B5B-1)은 중위3분위로 동일 모집단(전체 응답자) 내에서 구간이 하락함","병목 가능성이 관찰됨 (direct_within_survey 쌍이므로 conditional 지표보다 해석 근거가 상대적으로 강함, 그러나 실제 수치 차감(Gap)이나 통계적 유의성 검정은 수행하지 않았으므로 '발견'으로 단정하지 않음)"
프랑스,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['여행목적지로서 낮은 한국 인지도', '적당하지 않은 여행경비 및 물가', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 21.2%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
멕시코,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 상위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 중위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
멕시코,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['여행목적지로서 낮은 한국 인지도', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '적당하지 않은 여행경비 및 물가'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 21.7%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
카자흐스탄,direct_within_survey,Layer1->Layer3 상대적 구간 하락,"문화경험률(E1A-1)은 중위3분위, 방한의향 있음률(B5B-1)은 하위3분위로 동일 모집단(전체 응답자) 내에서 구간이 하락함","병목 가능성이 관찰됨 (direct_within_survey 쌍이므로 conditional 지표보다 해석 근거가 상대적으로 강함, 그러나 실제 수치 차감(Gap)이나 통계적 유의성 검정은 수행하지 않았으므로 '발견'으로 단정하지 않음)"
카자흐스탄,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 중위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 하위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
브라질,conditional,한류실태(1-35) vs 잠재방한객(E4-1) 인식긍정률 구간 불일치,"한류실태조사 인식긍정률(1-35, 한류경험자 패널)은 상위3분위, 잠재방한객조사 호감도긍정률(E4-1, 문화경험자 하위집합)은 중위3분위로 구간이 다름",참고 관찰 (서로 다른 조사·별도 스크리닝된 패널이므로 병목 판단 근거로 사용하지 않고 두 조사의 응답 경향 차이를 보여주는 참고 정보로만 기록)
브라질,conditional,방한 비의향 장벽 중 한류 콘텐츠 관심 부재가 상위 요인,"방문 비의향자(B13-1A) 상위 사유 Top3: ['불편한 언어소통', '한류(한국 문화 콘텐츠) 문화 관련 관심 부재', '여행목적지로서 낮은 한국 인지도'], 이 중 '한류(한국 문화 콘텐츠) 문화 관련 관심 부재'가 32.1%로 포함됨","병목 가능성이 관찰됨 (단, B13-1A의 BASE는 '방문 비의향자'라는 별도 하위집단이므로 이 국가의 전체 모집단 특성과 직접 연결해 해석하지 않도록 주의)"
사우디아라비아,conditional,Layer2->Layer3 상대적 구간 하락 (잠재방한객 문화경험자 하위집합 내부),"문화경험자 중 호감도 긍정률(E4-1)은 상위3분위, 같은 문화경험자 중 방문의향 긍정률(E4-3)은 중위3분위로 구간이 하락함 (두 지표 모두 '문화경험자'라는 같은 하위집합을 BASE로 공유하므로 E1A-1/B5B-1 쌍만큼은 아니지만 어느 정도 비교 근거가 있음)","병목 가능성이 관찰됨 (conditional, 같은 하위집단 내부 비교이나 표본 구성 차이 가능성 있어 발견으로 단정 불가)"
